sample_id,text_prompt,category,style,quality_level,color_palette,aspect_ratio,prompt_length,word_count,complexity_score,text_sentiment,text_clarity,text_specificity,image_width,image_height,image_channels,color_depth,noise_level,sharpness_score,brightness,contrast,saturation,hue_variance,edge_density,texture_score,composition_score,aesthetic_score,clip_score,fid_score,inception_score,ssim_score,psnr_score,generation_time_img,gpu_memory_img,inference_steps,guidance_scale,seed_value,video_fps,video_duration,total_frames,video_width,video_height,video_bitrate,compression_ratio,motion_score,temporal_consistency,scene_coherence,transition_type,video_quality_score,optical_flow_score,video_sentiment,generation_time_vid,gpu_memory_vid,model_version,batch_size,learning_rate,epoch_trained,training_loss,validation_loss,perceptual_loss,adversarial_loss,user_rating,expert_rating,human_preference_score,prompt_adherence,creative_score,technical_quality,dataset_split,overall_quality_score,quality_label,quality_class
11,A stunning futuristic city at dawn,architecture,cinematic,high,dark,16:9,153,15,0.1703,0.2106,0.6925,0.6982,768,768,3,8,0.2176,0.9366,0.4311,0.6881,0.1757,0.6015,0.2932,0.4801,0.6029,0.6458,0.9834,183.2708,7.0495,0.6078,38.3972,15.3845,8.2855,32,16.4561,415793,30,47.99,1304,1080,720,3819,0.4198,0.7517,0.8283,0.9601,cut,0.6684,0.8851,-0.4781,81.3313,43.7735,v2.1,4,0.001,236,1.956334,1.879705,1.191608,1.355613,1.26,1.23,0.3309,0.6713,0.7752,0.8427,validation,0.8151,1,high
12,A realistic desert dunes during storm,food,oil_painting,medium,monochrome,1:1,84,23,0.5482,-0.0759,0.8643,0.6019,256,768,3,32,0.4864,0.408,0.59,0.3664,0.2268,0.8724,0.6169,0.9446,0.6211,0.728,0.6325,9.2745,7.3395,0.946,25.2813,24.9928,16.5164,69,4.2503,919596,60,37.8,1116,720,1080,7988,0.7431,0.5415,0.8014,0.4186,cut,0.5698,0.7613,-0.3377,121.1521,36.7859,v2.1,8,1e-05,46,0.434427,0.524157,0.921831,2.295008,2.25,3.99,0.2505,0.6843,0.6325,0.8332,train,0.6873,1,medium
13,A detailed flower garden in rain,food,watercolor,medium,pastel,21:9,197,14,0.5716,0.1055,0.8552,0.5556,768,768,3,16,0.1996,0.995,0.4615,0.6146,0.6781,0.8297,0.861,0.6123,0.7848,0.4889,0.7243,75.686,7.1123,0.9822,25.7037,17.8521,19.0635,53,5.5979,204018,24,52.47,160,1080,1080,1022,0.8348,0.4926,0.5882,0.582,wipe,0.9546,0.5658,0.4314,58.4276,30.8183,v1.0,4,1e-05,407,1.547732,0.077594,0.789399,1.959932,3.95,4.28,0.9357,0.9547,0.377,0.6819,train,0.6709,0,medium
14,An amazing city skyline at dawn,abstract,cartoon,medium,monochrome,1:1,22,9,0.8396,-0.1837,0.9104,0.8148,256,512,3,32,0.2575,0.3119,0.3219,0.6119,0.9562,0.3861,0.5631,0.6387,0.8467,0.9472,0.5105,40.8012,7.9395,0.6936,36.5769,7.4942,3.1555,21,6.3737,210151,24,8.14,1717,720,1080,1003,0.8483,0.3612,0.5327,0.9619,cut,0.3387,0.6715,-0.1962,114.2142,15.909,v2.0,16,0.0001,340,1.608409,1.439907,0.720515,2.491566,1.55,4.83,0.7303,0.963,0.3911,0.827,train,0.7905,1,high
15,An amazing arctic tundra in rain,animals,vintage,ultra,monochrome,21:9,56,27,0.7454,0.5143,0.8692,0.7369,256,1024,3,16,0.4798,0.5424,0.7355,0.8415,0.9393,0.9803,0.7382,0.803,0.3658,0.87,0.8377,77.7343,4.8659,0.6311,26.0617,11.6544,23.2053,76,19.9073,511391,24,51.23,1798,1080,1080,2595,0.2432,0.2907,0.5586,0.5686,pan,0.9277,0.687,0.6754,222.7204,13.2795,v2.0,2,0.0005,487,1.398917,2.083974,0.22486,2.183262,1.86,2.05,0.6536,0.5206,0.6604,0.9127,train,0.7296,1,medium
16,A colorful desert dunes at sunset,nature,sketch,medium,monochrome,9:16,128,10,0.1637,0.5091,0.5177,0.9228,768,1080,3,8,0.0247,0.8213,0.2756,0.9126,0.6026,0.0103,0.8065,0.5626,0.5248,0.9562,0.6875,113.8125,5.1371,0.6641,40.1192,27.3911,3.1956,19,1.9519,656384,30,18.62,1111,720,480,2492,0.4437,0.1429,0.6027,0.8205,none,0.932,0.7579,0.6713,105.7278,20.8638,v3.0,2,5e-05,469,1.396305,2.376559,0.764853,2.677602,4.76,4.78,0.9906,0.6282,0.8576,0.7467,test,0.7408,1,high
17,A serene night sky in morning light,portrait,cinematic,ultra,neutral,9:16,22,35,0.7348,0.638,0.8696,0.3078,768,1024,3,8,0.1593,0.7213,0.5959,0.5461,0.5365,0.7388,0.6899,0.5926,0.3598,0.798,0.5031,157.6665,3.4357,0.6861,37.8266,5.5877,23.8384,54,17.0891,592914,24,27.24,1125,480,720,3325,0.8798,0.122,0.8297,0.6868,dissolve,0.6629,0.776,0.8573,201.8762,12.0758,v3.0,8,1e-05,242,0.070046,0.323264,0.106076,1.227714,1.02,1.72,0.7181,0.7597,0.9401,0.8055,train,0.7285,1,medium
18,A dramatic city skyline in blue hour,food,cartoon,ultra,warm,4:3,180,22,0.2222,0.0459,0.5116,0.1147,1024,256,3,16,0.102,0.5798,0.3116,0.3956,0.9736,0.6359,0.1737,0.4327,0.9942,0.9059,0.4741,100.6727,7.2921,0.8346,46.9087,19.3693,10.9517,82,13.5669,958318,60,45.78,1617,480,1080,4193,0.6102,0.4051,0.8042,0.9853,dissolve,0.9466,0.8242,-0.1981,296.2244,40.8221,v2.1,4,0.001,23,0.532273,1.334092,1.37414,1.762867,1.02,1.14,0.6051,0.7952,0.4773,0.3095,train,0.7044,1,medium
19,A vibrant waterfall during eclipse,animals,oil_painting,low,vibrant,16:9,162,25,0.1805,0.6027,0.7666,0.9999,512,256,3,8,0.226,0.3544,0.7604,0.4636,0.6001,0.4939,0.2937,0.7009,0.8394,0.8978,0.6063,36.9202,5.0196,0.664,48.3992,16.0487,8.7748,40,19.0829,635022,24,2.12,1566,720,720,4104,0.4712,0.4133,0.6695,0.7113,none,0.4338,0.9119,-0.1626,265.4231,11.9441,v3.0,16,0.0001,438,1.05171,0.458827,1.124609,2.293015,3.86,1.39,0.0827,0.5876,0.3645,0.8991,validation,0.7441,1,high
20,A realistic urban street in fog,portrait,vintage,medium,pastel,9:16,75,19,0.4587,-0.6886,0.9195,0.3551,1280,1024,3,8,0.0594,0.9664,0.5304,0.5623,0.9393,0.2814,0.6002,0.228,0.673,0.3988,0.6325,60.0502,1.6545,0.8382,20.3677,6.3114,12.7775,65,18.4421,65053,12,25.28,1051,720,360,803,0.6352,0.3573,0.6115,0.5831,pan,0.4119,0.1405,0.7046,65.6556,4.6148,v3.0,1,0.0001,419,0.072198,1.424709,0.08357,2.221558,2.52,2.23,0.7182,0.9261,0.5313,0.4121,validation,0.5947,0,low
21,An amazing mountain landscape in fog,nature,modern,professional,monochrome,16:9,80,35,0.1696,-0.9397,0.9148,0.1387,256,1024,3,8,0.2302,0.8978,0.686,0.3941,0.8407,0.358,0.751,0.2939,0.7757,0.9428,0.6423,158.2443,2.6617,0.9083,31.6977,5.6007,21.3774,27,7.229,193513,24,32.56,1527,720,720,6591,0.5369,0.3396,0.9698,0.6279,cut,0.7659,0.4718,0.822,5.6224,29.4994,v1.5,1,5e-05,420,0.642125,0.811682,1.019454,0.114515,1.26,2.14,0.0596,0.5765,0.6606,0.4904,train,0.6958,1,medium
22,A vibrant city skyline in fog,landscape,oil_painting,medium,vibrant,4:3,87,14,0.8463,0.2961,0.9207,0.3226,256,512,3,32,0.1456,0.3529,0.3822,0.3988,0.5659,0.0363,0.1282,0.8333,0.4369,0.421,0.4541,147.6571,9.003,0.5076,48.8083,16.4155,13.7976,44,15.0228,982167,30,58.71,1411,720,720,4002,0.2976,0.6966,0.5742,0.4016,wipe,0.7988,0.9787,-0.6721,194.9277,9.9952,v2.1,16,0.0005,399,0.595921,0.704046,0.197386,2.525493,1.86,3.53,0.6256,0.7548,0.9241,0.3544,train,0.502,0,very_low
23,An amazing tropical beach under stars,fashion,watercolor,medium,monochrome,1:1,98,10,0.5168,-0.789,0.8012,0.7019,1024,768,1,8,0.484,0.8268,0.258,0.3921,0.308,0.8413,0.8268,0.7811,0.9254,0.4112,0.9002,101.8619,4.9246,0.7342,25.13,22.401,20.7999,47,13.039,218793,12,33.3,865,480,720,3730,0.8445,0.0252,0.9096,0.9024,dissolve,0.5104,0.3609,0.5018,193.5981,28.8205,v3.0,8,0.0005,52,1.97728,2.037303,0.462575,0.394983,1.1,3.92,0.7829,0.9086,0.4593,0.446,validation,0.769,1,high
24,A serene old castle in rain,animals,artistic,medium,dark,9:16,90,28,0.6283,0.1013,0.5919,0.6293,1280,1080,3,16,0.0799,0.4166,0.4459,0.4377,0.5602,0.8425,0.5045,0.7428,0.367,0.2387,0.5773,122.6144,9.0295,0.9472,42.2189,12.1656,7.5946,93,19.1475,938203,24,8.05,1240,1920,720,3148,0.8998,0.8291,0.7024,0.4386,dissolve,0.7559,0.419,0.2957,298.538,34.066,v1.5,8,1e-05,281,0.96394,1.74587,0.526008,2.51617,1.15,4.42,0.8651,0.8441,0.2417,0.9951,train,0.6438,0,medium
25,A stunning arctic tundra in rain,sports,artistic,professional,neutral,3:2,130,37,0.6192,0.4422,0.754,0.286,512,1024,3,16,0.2323,0.9745,0.4986,0.5147,0.7597,0.2325,0.516,0.2749,0.9416,0.8166,0.8292,162.315,8.7002,0.5634,43.4212,24.7147,5.8875,85,5.3183,857237,12,2.1,943,480,1080,5910,0.7957,0.1092,0.8733,0.4273,dissolve,0.3081,0.6135,-0.1215,163.1545,31.8782,v1.0,1,0.0005,144,0.433044,0.502085,1.172423,0.598448,3.71,4.31,0.9541,0.5452,0.8262,0.9488,train,0.7253,1,medium
26,A detailed old castle under stars,landscape,modern,professional,dark,3:2,42,32,0.9803,-0.1858,0.7581,0.2676,1024,1080,3,8,0.3429,0.3466,0.73,0.7665,0.7641,0.8883,0.5164,0.2694,0.7448,0.75,0.403,183.8342,7.3745,0.5872,37.4307,21.8976,6.4037,85,12.4345,638072,30,47.3,208,1080,1080,8481,0.8275,0.2492,0.9853,0.7237,cut,0.7582,0.4796,0.2139,119.9135,17.0945,v2.0,1,0.0005,58,1.862493,0.152993,0.875348,2.776837,1.56,1.11,0.7108,0.7273,0.6641,0.6214,train,0.6882,1,medium
27,An amazing urban street during storm,fashion,artistic,ultra,dark,3:2,33,32,0.9242,-0.9123,0.6624,0.4999,1920,1080,3,32,0.3015,0.4285,0.3897,0.6314,0.8625,0.9941,0.7381,0.475,0.8857,0.9171,0.407,70.8271,1.6099,0.7225,35.3062,19.3712,19.0334,88,2.6952,279807,30,38.0,742,1920,720,5628,0.2606,0.9495,0.9293,0.6473,fade,0.4686,0.6827,-0.2488,249.8925,31.6332,v1.5,2,5e-05,325,1.396034,0.803472,1.468596,1.406714,4.07,1.13,0.2274,0.8638,0.2115,0.9102,validation,0.7716,1,high
28,A dynamic futuristic city in fog,abstract,artistic,professional,neutral,3:2,153,14,0.8642,0.7743,0.712,0.1122,512,1280,3,8,0.1656,0.8409,0.8414,0.6923,0.5221,0.6022,0.2379,0.483,0.4678,0.9045,0.5779,101.5211,6.8257,0.6442,20.1315,29.3733,12.5073,38,10.7652,296666,24,45.15,1303,720,480,656,0.5248,0.4046,0.892,0.8679,zoom,0.9964,0.1853,-0.1455,82.2494,17.485,v1.5,16,5e-05,164,1.707182,1.65265,1.215187,2.469083,4.37,3.56,0.8164,0.9592,0.7245,0.4026,train,0.7151,1,medium
29,A stunning autumn forest at dawn,technology,cartoon,ultra,warm,3:2,52,27,0.4449,-0.9135,0.9361,0.1021,1920,512,3,16,0.1334,0.312,0.8452,0.6828,0.551,0.661,0.369,0.5552,0.7562,0.4781,0.9056,37.8337,3.1369,0.5883,43.5295,5.0996,7.0001,80,14.608,42764,30,42.64,1012,1920,480,9602,0.8202,0.0071,0.5828,0.4127,zoom,0.6466,0.8911,0.5142,233.7234,45.8205,v1.5,16,0.0005,102,1.049368,0.653984,0.827054,1.215991,2.74,1.06,0.1839,0.6563,0.7963,0.7702,train,0.6185,0,low
30,A vibrant canyon view in blue hour,architecture,cartoon,low,dark,3:2,28,19,0.2306,0.8095,0.759,0.6552,256,256,3,8,0.2051,0.9135,0.4376,0.9771,0.1287,0.0445,0.5247,0.7885,0.7267,0.8699,0.967,95.7803,7.181,0.9862,48.9514,19.5329,1.6328,65,1.9941,239451,12,16.63,1166,1080,480,9841,0.2911,0.5311,0.9314,0.8028,cut,0.9622,0.2337,0.2355,51.527,46.4934,v2.0,2,1e-05,262,1.224767,0.699176,0.855958,0.538252,3.49,3.99,0.436,0.9798,0.709,0.695,train,0.8594,1,very_high
31,A detailed old castle in rain,sports,sketch,ultra,pastel,3:2,159,18,0.6327,-0.8947,0.8524,0.3928,1280,512,3,8,0.035,0.4827,0.3615,0.6677,0.4817,0.6635,0.31,0.9421,0.3364,0.475,0.7794,20.0282,1.6441,0.9349,42.6789,0.5345,8.6618,70,15.5734,779685,60,1.92,1088,720,480,4612,0.4372,0.2757,0.6159,0.818,pan,0.4846,0.6274,0.3691,196.051,10.8492,v2.1,4,0.0001,70,0.153497,2.398481,0.166219,2.840366,3.29,2.22,0.447,0.528,0.9785,0.6975,train,0.619,0,low
32,A beautiful ocean view at sunset,abstract,digital_art,medium,monochrome,9:16,136,18,0.4963,0.4703,0.7479,0.1215,256,1024,3,8,0.1707,0.9029,0.7354,0.7073,0.8305,0.1606,0.4038,0.313,0.3125,0.5783,0.4482,26.8059,9.0723,0.8837,31.8276,19.6137,18.7904,80,9.0139,56206,24,2.6,297,720,1080,1135,0.4147,0.248,0.681,0.4789,pan,0.6211,0.1556,-0.413,133.9404,9.5649,v3.0,4,0.0005,147,1.357207,0.710913,1.407568,0.421741,4.83,2.92,0.4185,0.5468,0.3948,0.3894,train,0.5523,0,low
33,A realistic tropical beach under stars,nature,modern,high,neutral,3:2,114,11,0.303,0.8497,0.8087,0.5138,1024,1280,3,16,0.2988,0.6302,0.5335,0.8369,0.6516,0.6486,0.6265,0.5798,0.9097,0.779,0.9602,165.5054,6.9477,0.6638,32.6558,13.4727,12.5051,77,9.156,435807,30,25.88,280,1080,480,3239,0.5762,0.8638,0.6112,0.9564,dissolve,0.5673,0.3695,0.0059,274.8316,8.0691,v2.0,8,0.001,62,0.896267,1.36581,0.798848,1.428304,4.94,2.4,0.6409,0.6572,0.3395,0.8156,test,0.8022,1,high
34,An amazing ocean view during eclipse,abstract,artistic,high,neutral,21:9,198,22,0.1879,0.814,0.5463,0.942,512,1024,1,8,0.4943,0.3398,0.5467,0.7494,0.1314,0.6433,0.1287,0.3981,0.3887,0.5981,0.8224,122.2718,8.4865,0.6219,28.1149,25.3185,3.6886,76,15.489,859470,24,55.82,35,1920,720,5534,0.4156,0.9914,0.7337,0.7695,cut,0.684,0.2361,0.189,221.809,6.1503,v3.0,4,5e-05,317,0.779785,0.974977,0.629444,1.213303,1.75,4.25,0.5956,0.668,0.8598,0.9736,train,0.7189,1,medium
35,A realistic ocean view in golden hour,technology,sketch,medium,monochrome,21:9,22,19,0.4925,0.7868,0.9657,0.3294,512,1080,3,8,0.3161,0.6781,0.7533,0.3813,0.3357,0.1944,0.4179,0.8949,0.3063,0.4528,0.8739,104.1599,2.9507,0.5044,37.9403,20.6604,13.0419,72,3.9272,561719,30,8.78,136,1080,1080,1750,0.8899,0.4877,0.9356,0.5981,dissolve,0.8264,0.697,0.7377,288.3378,4.04,v2.1,16,0.0001,211,1.239693,1.530174,1.426497,0.608145,2.04,4.4,0.2606,0.6866,0.2013,0.486,train,0.6549,0,medium
36,A dramatic canyon view in golden hour,nature,modern,ultra,vibrant,3:2,65,37,0.6858,0.7662,0.718,0.326,256,256,3,8,0.4733,0.8053,0.5007,0.3492,0.7032,0.2503,0.1206,0.7867,0.7335,0.6739,0.6438,37.633,4.3919,0.8564,39.2015,7.6989,4.6137,26,15.1845,84131,24,30.36,459,480,480,9731,0.5995,0.7806,0.5179,0.7931,pan,0.5211,0.1397,-0.2536,56.1276,45.6335,v2.0,2,0.001,489,1.005697,1.835291,0.774154,2.864432,3.96,4.11,0.9829,0.6105,0.7614,0.3651,train,0.5829,0,low
37,A stunning desert dunes during storm,sports,artistic,medium,cool,4:3,55,26,0.6629,0.0208,0.8742,0.5212,1024,512,3,8,0.0027,0.6746,0.5497,0.3378,0.7226,0.1902,0.3261,0.5662,0.7663,0.8601,0.9677,50.6248,3.5388,0.6827,24.8287,7.4013,15.3698,33,14.7523,785302,30,23.55,1691,720,480,8798,0.2535,0.473,0.5467,0.5656,fade,0.8024,0.9417,-0.3918,98.9835,30.8499,v3.0,8,1e-05,362,1.612968,2.371524,1.151042,1.167667,1.15,2.54,0.6588,0.5019,0.7169,0.6195,test,0.7045,1,medium
38,A detailed futuristic city in blue hour,technology,cinematic,professional,dark,9:16,160,21,0.7965,0.1154,0.8336,0.2336,1280,256,3,8,0.3866,0.9303,0.7423,0.5577,0.7289,0.002,0.8781,0.9703,0.6154,0.6658,0.6759,80.8029,5.2533,0.583,35.2385,29.5838,11.4572,84,2.6091,736429,30,59.74,251,720,720,5396,0.8113,0.3058,0.9909,0.8552,fade,0.5819,0.1987,-0.7774,127.5198,21.8086,v3.0,1,0.0005,487,0.102873,0.868768,0.077928,0.994459,4.29,3.68,0.9479,0.9942,0.6649,0.5207,validation,0.7724,1,high
39,A dynamic desert dunes during eclipse,portrait,photorealistic,ultra,pastel,21:9,32,30,0.5199,0.2394,0.8996,0.6741,768,1024,3,8,0.232,0.8271,0.3609,0.4668,0.4433,0.7941,0.1991,0.5987,0.3478,0.7632,0.9881,17.9066,2.7903,0.9762,33.3558,20.4228,8.2991,33,11.6052,823790,24,21.31,278,720,720,965,0.579,0.0912,0.8394,0.6563,wipe,0.8761,0.6774,-0.458,92.7962,30.9501,v1.5,8,1e-05,371,1.077406,1.124644,1.310886,2.025931,2.92,4.38,0.2767,0.9889,0.3298,0.8831,test,0.8979,1,very_high
40,A dramatic canyon view during eclipse,architecture,cinematic,medium,warm,4:3,104,19,0.3895,0.7919,0.5174,0.8553,1920,1024,3,8,0.3091,0.3868,0.8458,0.9033,0.6348,0.5386,0.8764,0.3499,0.9403,0.7933,0.4556,135.7302,8.7081,0.9677,45.6293,26.5597,5.8717,52,1.493,573536,24,10.58,1094,720,480,4631,0.6822,0.7615,0.7413,0.6865,none,0.3084,0.7167,-0.4677,99.973,9.1088,v1.0,8,0.0001,214,1.671292,1.471278,1.227875,0.743824,1.93,1.7,0.5935,0.8004,0.3472,0.6919,train,0.6919,1,medium
41,A dramatic arctic tundra in fog,sports,vintage,professional,dark,16:9,181,22,0.5848,0.6763,0.9677,0.2751,1024,512,3,8,0.1792,0.3323,0.6324,0.9256,0.5862,0.5373,0.6147,0.2096,0.7939,0.3982,0.6799,109.0847,3.8162,0.8963,42.3949,25.2082,17.0375,74,3.0755,608198,24,23.79,385,720,480,9266,0.6783,0.9929,0.6131,0.4616,pan,0.786,0.6384,0.0431,134.9534,25.3748,v2.0,2,0.001,412,1.879075,1.263085,1.319185,0.816946,1.61,4.05,0.3626,0.7523,0.786,0.7531,validation,0.6141,0,low
42,A stunning night sky in golden hour,portrait,modern,professional,monochrome,3:2,62,12,0.9775,0.566,0.9149,0.6929,1280,1024,3,16,0.147,0.5532,0.6604,0.6123,0.8692,0.0783,0.1504,0.346,0.3705,0.7693,0.7571,190.1587,4.0289,0.7115,37.8886,5.2096,6.5174,62,15.4336,73974,24,22.58,1468,1080,720,8072,0.2842,0.4605,0.9,0.9011,wipe,0.5502,0.2074,0.7163,258.9686,41.7731,v1.0,1,1e-05,403,0.875615,1.46621,0.480171,1.906669,3.81,2.93,0.8699,0.8352,0.5266,0.6259,train,0.7783,1,high
43,An amazing flower garden at sunset,fashion,digital_art,ultra,warm,1:1,147,7,0.1406,0.3514,0.9169,0.8992,1920,768,3,8,0.1757,0.7928,0.871,0.6601,0.2204,0.554,0.2008,0.9983,0.76,0.7552,0.5095,168.433,5.1315,0.8923,36.9468,7.9347,21.621,70,2.3504,827477,60,22.87,710,720,480,706,0.4879,0.7046,0.7046,0.5707,none,0.7835,0.9977,0.1385,35.9541,17.1038,v2.1,16,5e-05,53,1.978278,1.537228,0.002225,2.418034,2.14,2.95,0.5523,0.7378,0.2278,0.6756,train,0.6482,0,medium
44,An amazing forest scene during storm,sports,vintage,low,vibrant,3:2,175,18,0.5758,0.2368,0.7336,0.9128,1280,512,3,8,0.2993,0.8999,0.249,0.4335,0.274,0.4772,0.4804,0.9637,0.8505,0.6218,0.6275,198.6322,7.8581,0.6478,42.8716,5.688,10.9055,64,16.7064,71235,12,40.62,823,720,480,3659,0.3456,0.867,0.7125,0.9196,none,0.8338,0.5649,0.7339,148.9959,33.1055,v1.5,4,5e-05,285,0.363885,2.299119,0.734633,1.78122,3.56,3.63,0.0986,0.6624,0.3417,0.3608,train,0.6316,0,low
